"Status","Species.Listing.Name","kingdom","organism","species","rank","class","taxonkey"
"E","Lily, Western (Lilium occidentale)","plant","Lily","Lilium occidentale","SPECIES","Liliopsida",2753475
"E","Lily, Pitkin Marsh (Lilium pardalinum ssp. pitkinense)","plant","Lily","Lilium pardalinum  pitkinense","SUBSPECIES","Liliopsida",2753192
"T","Liveforever, Laguna Beach (Dudleya stolonifera)","plant","Liveforever","Dudleya stolonifera","SPECIES","Magnoliopsida",2985915
"E","Liveforever, Santa Barbara Island (Dudleya traskiae)","plant","Liveforever","Dudleya traskiae","SPECIES","Magnoliopsida",2985874
"E","Lupine, Nipomo Mesa (Lupinus nipomensis)","plant","Lupine","Lupinus nipomensis","SPECIES","Magnoliopsida",2963855
"E","Lupine, clover (Lupinus tidestromii)","plant","Lupine","Lupinus tidestromii","SPECIES","Magnoliopsida",2963895
"E","Malacothrix, Santa Cruz Island (Malacothrix indecora)","plant","Malacothrix","Malacothrix indecora","SPECIES","Magnoliopsida",5387219
"E","Malacothrix, island (Malacothrix squalida)","plant","Malacothrix","Malacothrix squalida","SPECIES","Magnoliopsida",5387209
"E","Mallow, Kern (Eremalche kernensis)","plant","Mallow","Eremalche kernensis","SPECIES","Magnoliopsida",3152753
"E","Manzanita, Santa Rosa Island (Arctostaphylos confertiflora)","plant","Manzanita","Arctostaphylos confertiflora","SPECIES","Magnoliopsida",2882600
"E","Manzanita, Franciscan (Arctostaphylos franciscana)","plant","Manzanita","Arctostaphylos franciscana","SPECIES","Magnoliopsida",2882544
